sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
50v-10__scip__s0.json.gz,50v-10.mps.gz,S0,0,True,2.4206080618342402e-14,0.0,1.5510935529612299e-15,3392.6799867898217,3392.679986789821,1.3403779686181055e-16,0
CMS750_4__scip__s0.json.gz,CMS750_4.mps.gz,S0,0,True,0.0,0.0,7.83620635047555e-08,252.0,252.0,0.0,0
air05__scip__s0.json.gz,air05.mps.gz,S0,0,True,0.0,0.0,0.0,26374.0,26374.0,0.0,0
assign1-5-8__scip__s0.json.gz,assign1-5-8.mps.gz,S0,0,True,0.0,0.0,0.0,212.0,212.0,0.0,0
beasleyC3__scip__s0.json.gz,beasleyC3.mps.gz,S0,0,True,0.0,0.0,0.0,754.0,754.0,0.0,0
binkar10_1__scip__s0.json.gz,binkar10_1.mps.gz,S0,0,True,1.7173762412169765e-14,1.7173762412169765e-14,1.1102230246251565e-16,6742.200024,6742.200023998389,2.3890052373210945e-13,0
cbs-cta__scip__s0.json.gz,cbs-cta.mps.gz,S0,0,True,6.661338147750939e-16,6.661338147750939e-16,5.856892482114517e-07,0.0,0.0,0.0,0
cod105__scip__s0.json.gz,cod105.mps.gz,S0,0,True,0.0,0.0,0.0,-12.0,-12.0,0.0,0
comp21-2idx__scip__s0.json.gz,comp21-2idx.mps.gz,S0,0,True,0.0,0.0,0.0,180.0,180.0,0.0,0
dano3_3__scip__s0.json.gz,dano3_3.mps.gz,S0,0,True,1.7763568394002505e-14,0.0,4.170175316176028e-11,576.3446330306431,576.3446330306431,0.0,0
decomp2__scip__s0.json.gz,decomp2.mps.gz,S0,0,True,0.0,0.0,0.0,-160.0,-160.0,0.0,0
drayage-100-23__scip__s0.json.gz,drayage-100-23.mps.gz,S0,0,True,0.0,0.0,1.496888839717845e-16,103333.87407302856,103333.87407302856,0.0,0
dws008-01__scip__s0.json.gz,dws008-01.mps.gz,S0,0,True,1.4210854715202004e-14,0.0,6.414622474707543e-14,64160.4190289732,64160.41902897319,1.134025887657902e-16,0
eil33-2__scip__s0.json.gz,eil33-2.mps.gz,S0,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
enlight_hard__scip__s0.json.gz,enlight_hard.mps.gz,S0,0,True,0.0,0.0,0.0,37.0,37.0,0.0,0
exp-1-500-5-5__scip__s0.json.gz,exp-1-500-5-5.mps.gz,S0,0,True,2.0653441154128767e-12,3.3320724229668446e-14,2.8032545981411202e-11,65887.0,65887.0,0.0,0
gen-ip054__scip__s0.json.gz,gen-ip054.mps.gz,S0,0,True,0.0,0.0,0.0,6857.169059349,6857.169059349,0.0,0
glass-sc__scip__s0.json.gz,glass-sc.mps.gz,S0,0,True,0.0,0.0,0.0,23.0,23.0,0.0,0
graphdraw-domain__scip__s0.json.gz,graphdraw-domain.mps.gz,S0,0,True,0.0,0.0,0.0,19686.0,19686.0,0.0,0
h80x6320d__scip__s0.json.gz,h80x6320d.mps.gz,S0,0,True,4.335664970118336e-14,1.5210055437364645e-14,8.282036211248914e-13,6382.09905,6382.099049999998,2.8501428594184183e-16,0
hypothyroid-k1__scip__s0.json.gz,hypothyroid-k1.mps.gz,S0,0,True,0.0,0.0,0.0,-2851.0,-2850.999999999999,3.1900901500278094e-16,0
ic97_potential__scip__s0.json.gz,ic97_potential.mps.gz,S0,0,True,0.0,0.0,8.881784197001252e-16,3966.0,3966.0,0.0,0
istanbul-no-cutoff__scip__s0.json.gz,istanbul-no-cutoff.mps.gz,S0,0,True,2.220446049250313e-16,1.1102230246251565e-16,6.85879464157324e-16,204.0817492414623,204.08174924146226,1.392662966484889e-16,0
mad__scip__s0.json.gz,mad.mps.gz,S0,0,True,8.326672684688674e-17,0.0,6.938893903907228e-17,0.07680000000000031,0.07680000000000049,1.8041124150158794e-16,0
markshare2__scip__s0.json.gz,markshare2.mps.gz,S0,0,True,7.591149930874508e-15,7.591149930874508e-15,0.0,33.00000000000273,33.00000000000182,2.7560445508269033e-14,0
mas74__scip__s0.json.gz,mas74.mps.gz,S0,0,True,3.6064326841603775e-15,3.6064326841603775e-15,1.8496871545643685e-16,12062.558886799992,12062.558886799992,0.0,0
mas76__scip__s0.json.gz,mas76.mps.gz,S0,0,True,0.0,0.0,0.0,40005.054142,40005.054142,0.0,0
n3div36__scip__s0.json.gz,n3div36.mps.gz,S0,0,True,5.551115123125783e-17,5.551115123125783e-17,0.0,139200.0,139200.0,0.0,0
neos-1171737__scip__s0.json.gz,neos-1171737.mps.gz,S0,0,True,0.0,0.0,0.0,-192.0,-192.0,0.0,0
neos-1445765__scip__s0.json.gz,neos-1445765.mps.gz,S0,0,True,4.440892098500626e-16,6.661338147750939e-16,4.884981308350689e-15,-17783.0,-17783.0,0.0,0
neos-1456979__scip__s0.json.gz,neos-1456979.mps.gz,S0,0,True,0.0,0.0,0.0,367.0,367.0,0.0,0
neos-2657525-crna__scip__s0.json.gz,neos-2657525-crna.mps.gz,S0,0,True,2.220446049250313e-16,4.547473508864641e-13,0.0,8.066648200000001,8.066648200000001,0.0,0
neos-2978193-inde__scip__s0.json.gz,neos-2978193-inde.mps.gz,S0,0,True,2.4424906541753444e-15,1.3322676295501878e-15,1.0658141036401503e-14,-2.388061686,-2.3880616859999995,1.859622020877993e-16,0
neos-3004026-krka__scip__s0.json.gz,neos-3004026-krka.mps.gz,S0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
neos-3046615-murg__scip__s0.json.gz,neos-3046615-murg.mps.gz,S0,0,True,0.0,0.0,0.0,1604.0,1604.0,0.0,0
neos-3381206-awhea__scip__s0.json.gz,neos-3381206-awhea.mps.gz,S0,0,True,2.5376526277146434e-16,1.1102230246251565e-15,0.0,453.0,453.0,0.0,0
neos-3656078-kumeu__scip__s0.json.gz,neos-3656078-kumeu.mps.gz,S0,0,True,0.0,0.0,7.105427357601002e-15,-12198.1,-12198.1,0.0,0
neos-3754480-nidda__scip__s0.json.gz,neos-3754480-nidda.mps.gz,S0,0,True,3.558414447503758e-17,3.1628948273379225e-15,5.4569682106375694e-11,13189.130756499415,13189.130756498704,5.3925074359884316e-14,0
neos-4722843-widden__scip__s0.json.gz,neos-4722843-widden.mps.gz,S0,0,True,0.0,0.0,0.0,28371.880952380954,28371.880952380954,0.0,0
neos-4763324-toguru__scip__s0.json.gz,neos-4763324-toguru.mps.gz,S0,0,True,0.0,0.0,0.0,5358.6750265395885,5358.6750265395885,0.0,0
neos-787933__scip__s0.json.gz,neos-787933.mps.gz,S0,0,True,0.0,0.0,0.0,30.0,30.0,0.0,0
neos-860300__scip__s0.json.gz,neos-860300.mps.gz,S0,0,True,0.0,0.0,0.0,3201.0,3201.0,0.0,0
neos-873061__scip__s0.json.gz,neos-873061.mps.gz,S0,0,True,0.0,0.0,1.3877787807814457e-17,555.8274522905,555.8274524319471,2.5448026453402603e-10,0
neos-911970__scip__s0.json.gz,neos-911970.mps.gz,S0,0,True,1.8253971967131773e-15,2.9112514867948517e-15,5.465713352000771e-16,54.76,54.76,0.0,0
neos17__scip__s0.json.gz,neos17.mps.gz,S0,0,True,0.0,0.0,4.440892098500626e-16,0.15000257742257742,0.15000257742257772,3.0531133177191805e-16,0
neos5__scip__s0.json.gz,neos5.mps.gz,S0,0,True,0.0,0.0,0.0,15.0,15.0,0.0,0
neos8__scip__s0.json.gz,neos8.mps.gz,S0,0,True,0.0,0.0,0.0,-3719.0,-3719.0,0.0,0
net12__scip__s0.json.gz,net12.mps.gz,S0,0,True,0.0,0.0,0.0,255.0,255.0,0.0,0
opm2-z10-s4__scip__s0.json.gz,opm2-z10-s4.mps.gz,S0,0,True,0.0,0.0,0.0,-28770.0,-28770.0,0.0,0
p200x1188c__scip__s0.json.gz,p200x1188c.mps.gz,S0,0,True,1.7541523789077473e-12,4.440892098500626e-16,6.543859065142931e-13,15078.000000000002,15078.0,1.2063863931196819e-16,0
piperout-27__scip__s0.json.gz,piperout-27.mps.gz,S0,0,True,4.263256414560601e-14,9.094947017729282e-13,9.703349235223868e-14,8124.000000000001,8124.000000000002,1.1195158810597342e-16,0
